"";"tweets";"value"
"66";"Oh but what about her emails <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34>";1
"67";"Waitthat’s Venom I thought it was Carnage";1
"68";"Got out of the shower to a message from BM about needing to learn propper bathing technique Shoot I guess I never…";1
"69";"Mid season crisisRCB to play Vettori and Nehraji to drop Pollard and Hardik replace…";1
"70";"When one door closes another opensOr may be you can open the same door coz thats how door works";1
"71";"In case you didn’t know fellow teachers there are limits to your role of helping with a child’s upbringing Stop buy…";1
"72";"If only there were some gender capable of explaining the problem in an appropriately condescending tone";1
"73";"Yet another thoughtprovoking image of the day";1
"74";"Great site you guys have for the passed minutes cannot order or sign in at all I guess this…";1
"75";"Well that is just BAFFLING";1
"76";"Wheres Kerry Fraser when you need him";1
"77";"Lets all get mad at the immigrants if your life sucks its obviously not because of the choices made by you your…";1
"78";"Ready for a of a day kids The past two work days has been fun with lost kids etc In one…";1
"79";"What on earth would make you think that <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E31>";1
"80";"Russia China Pledge New Military Ties Challenge US This isnt scary at all";1
"81";"Yet you did tweet about hair keratin treatment At least twice now Care to reply to this and mak…";1
"82";"My hand bewe nie maar ek sien moord as ek kwaad raak Beteken dit ek is ook ñ vroue slaner Connie…";1
"83";"Stock market plummets after Caterpillar announces record firstquarter profit was a record";1
"84";"Good gracious talking about coffee on the radio all morning Seriously stop I dont know a single…";1
"85";"Good news Shahi Paneer Paneer Dopiaza Jalebis and Ice creams are not going to make you fat anymore <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E31>";1
"86";"So glad I get to spend all day at children’s mercy with my dad";1
"87";"shopping with the wife";1
"88";"Shocking Really";1
"89";"is all about Ps Product Price Place Promotion but is about just Time amp Context only Hope…";1
"90";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"91";"This is a great example of";1
"92";"When the public bidets blue mystery liquid and cigarettepiss smell is just too much for your mind to handle Ice and…";1
"93";"wondering how a person close to PM gets convicted by the court that is supposedly compromised with RSS ideology Sa…";1
"94";"wow florida finds a way to charge you toll even if you were visiting from out of town and had no loose change tha…";1
"95";"thanks so much for all the help with my go phone tried using auto pay to save and they won’…";1
"96";"Working on my paper while working at the library circulation desk";1
"97";"When the public bidets blue mystery liquid and cigarettepiss smell is just too much for your mind to handle Ic…";1
"98";"Being RCB fan I feel proud that theres a team whose team management is even worse than RCB <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"99";"When youre twirling your eye mustaches defiantly Ice and The Face OUT NOW";1
"100";"Mr MacWhirter your tweets are a prime example of the need for a designated emoji";1
"101";"<U+039C><U+0391><U+03A5><U+03A1><U+039F>S <U+03A1><U+0395> <U+039A><U+0391><U+03A1><U+0391>G<U+039A><U+0399><U+039F><U+0396><U+0397> <U+039F><U+03A7><U+0399> <U+0395>G<U+03A7><U+03A1>O<U+039C><U+039F>S <U+039F> <U+03AD><U+03B3><U+03C7><U+03C1><U+03C9>µ<U+03BF><U+03C2> <U+0391><U+03C7><U+03B9><U+03BB><U+03BB><U+03AD>a<U+03C2> e<U+03AF><U+03BD>a<U+03B9> d<U+03B9><U+03CC><U+03C1><U+03B8><U+03C9>s<U+03B7> <U+03B3><U+03B9>a t<U+03B9><U+03C2> de<U+03BA>aet<U+03AF>e<U+03C2>a<U+03B9><U+03CE><U+03BD>e<U+03C2> t<U+03BF><U+03C5> <U+03BB>e<U+03C5><U+03BA><U+03BF>…";1
"102";"The press isnt silent at all about this you twit Its been widely reported Quit your BS Is…";1
"103";"NOTICE TO ALL GANKERS Do not be upset when you get GANKED in returnThank You <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>";1
"104";"DISGUSTING will have plenty of men to protest and march against in the coming weeks";1
"105";"but can I still listen if I think your a douche bag <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33>";1
"106";"Has asked her bosses to send donations to James Shaw Jr <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E37>";1
"107";"As if made by the hand of god Gods Animism Deities On the back of turtles This reminds us ho…";1
"108";"Catch Vinayak Kulkarni perform live this Saturday at Studio Pepperfry JP Nagar brought to you by amp";1
"109";"In case you didn’t know fellow teachers there are limits to your role of helping with a child’s upbringing St…";1
"110";"lt who is Robert Howard lmao im still shocked";1
"111";"Photographic proof that Justin Trudeau is Fidel Castros baby but we really dont know";1
"112";"So funny that you have to in case the extremely stupids don’t get it <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34>";1
"113";"Well Anti Semites do have to stick together";1
"114";"If I can love the wrong person so much just imagine how much will I love the right one So my love stop flirting…";1
"115";"And they all immediately smashed their stethoscopes and renounced the evils of Big Pharma vowing never to vaccinat…";1
"116";"Superior Talk about a dog whistle Shes clearly not hiding any white supremacist attitude here";1
"117";"My is a little bit of everything for grown or with…";1
"118";"I mean he ruined a year old white girl’s award moment in the name of Beyonce so he gets a pass";1
"119";"Nyah dah ni tak payah letak setiap kali tweet benda sarcastic";1
"120";"You guys are amazing Thank you Maybe you all because you have so much free time might co…";1
"121";"My is a little bit of everything for grown or";1
"122";"Day of Black and White Photography";1
"123";"Currently filtering <U+2615><U+FE0F>";1
"124";"Yep he is mine";1
"125";"Kabhi kabhi lagta h bangladesh ja k modeling kr lu km se km superstar to ban hi jaunga alom bhai ki tarah";1
"126";"Way to go Its a rule made by the Indian government";1
"127";"Buanglah tu Memang bodoh pon kan";1
"128";"Also hmmmm lifting during female sports season No way";1
"129";"Just for dollar for the st hours Check out this awesome Love comes and goes design on";1
"130";"I totally agree Nobody should ever whistle EVER in any ANY office environment…";1
"131";"Glad you got this obviously dangerous monster off the streets";1
"132";"Fantastic news coming out of DTE this morning they made MILLION in the st quarter This comes on the back of …";1
"133";"i am not always sarcastic sometimes i m sleeping";1
"134";"Kenapa ada situ patutnya";1
"135";"Fantastic news coming out of DTE this morning they made MILLION in the st quarter This comes on the back o…";1
"136";"Great talk amp sharing from amp thank you for rockin’ lendu<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E35><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E35>";1
"137";"El of procesa el de sus con Parece que el humo…";1
"138";"Dh mmg bodoh nak wat cmnehuhuhu";1
"139";"Yawn More cricket Yay lt";1
"140";"Its raining havok The Presidents security Intel advised him to stay indoors The Kenyans…";1
"141";"A new record only minutes to file worth of expenses YAY";1
"142";"What is the world coming to when you cant stick a camera up a womens skirt and snap her snatch";1
"143";"Ill be personally awaiting an apology from for their portrayal of Australians as uneducated rednecks…";1
"144";"But he is such a honest man oozing so much integrity <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E37>";1
"145";"<U+0905><U+0917><U+0930> ghatna <U+0915><U+094B> <U+092D><U+0940> Ghanta <U+092A><U+0922><U+093C> <U+0930><U+0939><U+0947> <U+0939><U+094B> <U+0924><U+094B> <U+092C><U+0947><U+091F><U+093E> <U+0932><U+0917><U+0940> <U+092A><U+0921><U+093C><U+0940> <U+0939><U+0948> <U+0924><U+0941><U+092E><U+094D><U+0939><U+093E><U+0930><U+0940><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"146";"Oh joy My allergies thank you…";1
"147";"Best part about the Army Waking up before Jesus";1
"148";"No way someone affiliated with lied thats really hard to believe get outta town";1
"149";"it real delight Would love to give you a workout";1
"150";"But but think of the revenue err sa…";1
"151";"Its very hard to spot";1
"152";"I just followed you and wanted you to know so I dont get ignored like all others";1
"153";"<U+090F><U+0915> <U+0924><U+0930><U+092B> <U+0921><U+0949> <U+0915><U+092B><U+0940><U+0932> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0916><U+093C><U+0941><U+0936><U+0940> <U+0939><U+094B> <U+0930><U+0939><U+0940><U+0964> <U+0935><U+0939><U+0940><U+0901> <U+0926><U+0942><U+0938><U+0930><U+0940> <U+0924><U+0930><U+092B> <U+0906><U+0938><U+093E><U+0930><U+093E><U+092E> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0917><U+092E><U+0964> <U+0907><U+0938> <U+092C><U+0947><U+091A><U+093E><U+0930><U+0947> <U+092E><U+093E><U+0938><U+0942><U+092E> <U+0915><U+0940> <U+0932><U+0917> <U+0917><U+092F><U+0940><U+0964> <U+2639><U+FE0F>";1
"154";"Awake since amfor no apparent reason Today is gonna be fun";1
"155";"Yes It is a fantastic idea to destroy private property peoples cars break shop windows become violent and to l…";1
"156";"Whoa did not see that coming";1
"157";"I’m surprised they were brave enough to question him Lol";1
"158";"But but but He has the will to talk against Sister Fox If thats not will what is";1
"159";"Yay hi";1
"160";"How can you remember your first password I think its obvious why this password is weak";1
"161";"When your eyebrows are on fleek but you say fuck it and just shave them off because they dont do shit Ice and The Fa…";1
"162";"Often I come across people who gives thoughtful insights on Beauty but unknowingly they everytime mistakes it with…";1
"163";"After relentless and of course senile efforts for about a year she has now got her due now all her past sins of…";1
"164";"Thank you for the minute paid advert for the on the news";1
"165";"next tym Ill add sry my bad";1
"166";"Chutiyaap";1
"167";"Cheeky child dares to be Alive defying court order to die asapHe does not know his best int…";1
"168";"BBees<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30>";1
"169";"Seems fair";1
"170";"Sure in child best interestsIs to die asap cheeky child fares to breach court order by be…";1
"171";"isnt Halo so exciting";1
"172";"That’s awesome";1
"173";"This concrete beach called Warner Robins is so much fun <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E39>";1
"174";"If April showers bring may flowers do may flowers bring Pilgrims";1
"175";"Cannot wait to see all the insta updates and tweets of people who are pretending to review but are actu…";1
"176";"Wow Way out there idea Why hasnt somebody thought of this before Im so glad we have…";1
"177";"True";1
"178";"Yangon residents are so damn lucky to have this super efficient regional government";1
"179";"Cant be anything else";1
"180";"Youre surely kidding";1
"181";"Me Sir calculator hai aapke paasColleague CasioMe Main theek hoon Aap kaise ho";1
"182";"Rain on my birthday Yippee";1
"183";"Lol kesian dia kena letak jugak";1
"184";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"185";"Saya senang sekali berkat Prof Rocky akhirnya pola pikir liberal dan agnostik sekarang bisa diterima…";1
"186";"Let the cows do the talking";1
"187";"I do feel sorry for the rangers management team and players as they will have less fans to run on the pitch and pro…";1
"188";"Having finally watched Broadchurch I can safely say Doctor Who will be high adventure for all the family and not…";1
"189";"When you are bored with the long bus travel";1
"190";"Karachi lost Do Darya yesterday Restaurants including the famous Kolachi have been all closed down…";1
"191";"Wauw wat een minister van gezondheid is toch wel Hulp nodig Verhuis naar ander land…";1
"192";"Corporate items Could be anything really couldn’t it Meanwhile people continue to live in the lap…";1
"193";"So glad he is using his platform for so much good";1
"194";"Nasa scientists thought they spotted a flea on the moon but it actually turned out to be a Luna Tic";1
"195";"Ive got hiccups nowGreat";1
"196";"Yes because making a tweet to honor the people who were murdered is genuine Social media has redu…";1
