"";"tweets";"value"
"5863";"E Sala Cup Namde <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> Joke Joke <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>";0
"3238";"You mean the antisemitic orthodox Jew Ben Shapiro";1
"4594";"Always a close contest between these two sides chasing should be fun";0
"6090";"Aaatttt Ma Won The Toss And Decided To Lose The Match By Runs <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> Late Yendhuku Take It I Say <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65>";0
"1112";"Didn’t I see a Washington player with a push on OG or a different raptor player and no foul was called but when mil…";1
"7707";"both are very prettySoo cuteeee Darling of cuteness <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E38><U+2764> family…";0
"1637";"Eu garantia";1
"6164";"Heyyy <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E62> from the <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E38> Today <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> Who are you supporting";0
"1174";"Dont judge anyone is the first meetingIt might be the worst strength of material exam in your first meeting…";1
"4062";"Do you have to deal with idiots regularly Let them know how you feel with this passiveaggressive tee…";1
"751";"Bergevin might have a bad attitudeMight be part of the problem";1
"7440";"With their first win at Wankhede Sunrisers Hyderabad are back to Top in the tally Two big Metro cities M…";0
"4824";"ASAP DONT GIVE SURPRISES TILL LAST BALL hatsoffAtom Bomb Deployer in IPL";0
"4235";"Jadeja is going through a time where hes not good enough to play as a batsman nor as a bowler If Kedar was availabl…";0
"7144";"We are Back where we Belong to at top of Fair Play awards <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E62> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E36><U+383C><U+3E31>";0
"459";"Fine people";1
"6145";"vs Kids Fight vs Mens Fights Vs legends Fight";0
"4362";"Right hand left hand combo ellam ok but Jadeja shud gain his momentum";0
"2442";"Being able to instantly respond with sarcasm within seconds of a stupid question is a sign of a smart and healthy brain <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E33>";1
"1183";"Who the hell needs anyway";1
"1243";"So as my coworker Lydia says My eyes are leaky plus my nose is runnin like its NOBODYS business i didnt…";1
"1394";"Pensar que el puerto frente a Rodman que ha aportado dos reales al Tesoro Nacional despues de tantos años…";1
"3023";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"5507";"If Virat Kohli is CRonaldo of cricket then AB Devilliers is Messi of cricket Genius <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E65>";0
"6170";"Best amp Worst of IPL so far CSKs Winning Chances";0
"3628";"Well that’s just great";1
"2364";"liked it <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E39>";1
"1525";"REVERSE SEXISM EXISTS BECAUSE IM A MAN AND I SAY SO This decree brought to you by";1
"6348";"Veena uruvaakuna koottam <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62><U+2728> and thaana serndha koottam <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E31><U+2728><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E66>";0
"6562";"Dont Miss it<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E66> vs match todayYou can book now your place <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39>";0
"6189";"Kaveri Derby tonight vs eh saala cup nambe come on";0
"6371";"Yes they setting the ambience n favour f dem Fandom thaana seranum ipdi influence panni vara va…";0
"6448";"Shane Watson already listening to motivational music on his headphones like a boss D";0
"72";"If only there were some gender capable of explaining the problem in an appropriately condescending tone";1
"5830";"suri di Im supporting from IPL season Ask <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E34>";0
"2676";"This is absurd How dare she show no concern for the other genders Are you telling me an Androgi…";1
"2657";"Oh i forgot Since somebody is worse means what they did is ok";1
"7461";"Guess This Killer look player <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>";0
"5909";"Most important match wanna see a good cricket today <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> Mahi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E66>";0
"401";"Pants have now tripled in value Might sell them to a slave and give the money to other dommes again";1
"4508";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E39>";0
"6184";"WIN THE TOSS BOLW FRIST";0
"1206";"Well if hard hitting quality pieces of journalism like say so then we all need to reevaluate our beli…";1
"3239";"Sure you were Bless your heart";1
"7683";"VIRAT ka Performance Full Video";0
"1417";"Looks I need to get my Thor for president bumpersticker";1
"2029";"Why did they rush this execution";1
"6963";"Head to head records in Ipl of Csk v Rcb rivalry Match played Csk wins Rcb wins No Result …";0
"86";"So glad I get to spend all day at children’s mercy with my dad";1
"559";"thank you for not inviting me in";1
"6318";"Watched practice session yesterday";0
"3714";"When you overhear people talking about you and youre like do you at least know how to spell my name <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34>";1
"695";"I love being on hold for minutes so far just to make a doctors appt";1
"3564";"How do you know all the intimate details of Comeys mind and actions You wouldnt make this stuf…";1
"6204";"Manju The Kozhi Kunju of Fever FM predicts the winner of Chennai vs Bangalore <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E31> What do you guys think <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E33><U+623C><U+3E38>…";0
"755";"It depends on what the meaning of the word stay is";1
"5226";"<U+0914><U+0930> <U+0915><U+094C><U+0928>";0
"4646";"What are they saying CSK CSK or RCB RCB Im confused";0
"2471";"She seems fit for elected office";1
"1817";"Well now Jenn as you know these memos that are so full of “condemning conversations” of Trump…";1
"4640";"fans are everywhere <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E63>";0
"2843";"of Republicans believe college hurts Americayes yes calculus and other advanced mathematics have always been…";1
"1197";"The Panorama City location is where the fun REALLY began The first employee was very…";1
"28";"Wake me after Snapchat decides to redesign the app for the th time SNAP down";1
"1877";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38>";1
"6808";"TessMee too eggzziteedd for Hope will win today";0
"709";"Wait Ben Carson that is now in charge of HUD Both Hannity and Carson spent that much buying houses Not…";1
"4865";"Aisa mat bolo yaar my favorite team hai Agar tum aisa feel krti ho to open challenge hai aap…";0
"5885";"Aa Pads tho Boundary varaku ala ela vellav saami <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E66> he stops the balls";0
"6292";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61>";0
"6260";"SUPPORT KISI BHI TEAM KO KRO BUT PAISE HAMESHA CSK PE HI LAGAO <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62>";0
"3679";"At first I thought Maybe Marty actually loves video games himselfThen I realiz…";1
"635";"Les cialeux jettent le blâme sur Pleck amp Pacioretty pour les même raisons de mar parce quon…";1
"1441";"Abstinence teaching worked so well in the past";1
"4547";"Smack <U+20E3> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E62>";0
"4818";"Huge target of set by for to chase down Either way this should be a terrific nd Innings <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E34>";0
"4429";"<U+0BA4><U+0BB2> <U+0B8E><U+0BAA><U+0BCD><U+0BAA><U+0BB5><U+0BC1><U+0BAE><U+0BCD> <U+0BAE><U+0BBE><U+0BB8><U+0BCD><U+0B87><U+0BA4><U+0BC1> <U+0BB5><U+0BB0><U+0BC8><U+0B95><U+0BCD><U+0B95><U+0BC1><U+0BAE><U+0BCD> <U+0B9C><U+0BC6><U+0BAF><U+0BCD><U+0B9A><U+0BCD><U+0B9A><U+0BA4><U+0BC1> <U+0BAE><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BBF><U+0BAF><U+0BAE><U+0BBF><U+0BB2><U+0BCD><U+0BB2> <U+0B87><U+0BA9><U+0BCD><U+0BA9><U+0BC8><U+0B95><U+0BCD><U+0B95><U+0BC1> <U+0B9C><U+0BC6><U+0BAF><U+0BCD><U+0B95><U+0BCD><U+0B95><U+0BBF><U+0BB1><U+0BA4><U+0BBE><U+0BA9><U+0BCD> <U+0BAE><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BBF><U+0BAF><U+0BAE><U+0BCD>";0
"4545";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63>";0
"4729";"Welcome to Match of the between and";0
"2695";"“She was certainly not confused I was wrong to say that — totally wrong”but u can c y i said that i mean shes a w…";1
"5808";"<U+0BA4><U+0BB2><U+0BC8><U+0BAF><U+0BCB><U+0B9F> <U+0B92><U+0BB0><U+0BC7> <U+0BAE><U+0BC2><U+0B9F><U+0BA8><U+0BAE><U+0BCD><U+0BAA><U+0BBF><U+0B95><U+0BCD><U+0B95><U+0BC8> <U+0BB9><U+0BB0><U+0BCD><U+0BAA><U+0B9C><U+0BA9><U+0BCD> <U+0BAA><U+0BBE><U+0BB2><U+0BCD> <U+0B9F><U+0BB0><U+0BCD><U+0BA9><U+0BCD> <U+0B86><U+0B95><U+0BC1><U+0BAE><U+0BCD> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E31>";0
"350";"Typical tale of talented prospect unable to significantly lower his walk rate in three professional seasons";1
"1009";"I dont know how you all missed that It was clearly covered at last months Evil White…";1
"3479";"Thanks for damaging my package Sure do love waking up to damaged packages";1
"7424";"In have AB have have Russel but have team Today they have proved it";0
"244";"Yes why not After all if the air had been breathed in from cylinders tax would have been due on it";1
"6162";"Bring it on <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>";0
"6454";"Hey Kate are you supporting or today <U+2764><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E62>";0
"4835";"Which is your favorite Retweet For FansFavorite For Fans";0
"5061";"Billings <U+2764>";0
"2385";"So apparently Chains is now rock music Cant wait for XXXTentacion and Lil Pump to do a song with Five Finger Dea…";1
"1405";"Ya nice reffing <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E33>";1
"817";"Happy Oslo Norway";1
"118";"I mean he ruined a year old white girl’s award moment in the name of Beyonce so he gets a pass";1
"7402";"Waiting For match of the season tomorrow VS Real Therrriii match Moothiii pakalama Kalathulaaaaa";0
"3797";"I love your security system Chevy Youre the greatest";1
"5842";"Thî tímé thé göés tö thè kalathala";0
"2863";"But regular people should be downloading only Uploading is suspicious at best";1
"6049";"<U+0BAA><U+0BCB><U+0B9F><U+0BBE> <U+0B8E><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BAE><U+0BCD> <U+0BB5><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BC1><U+0BA4><U+0BCD> <U+0BA4><U+0BB3><U+0BCD><U+0BB3><U+0BC1><U+0BAA><U+0BB4><U+0B9A> <U+0B8E><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BAE><U+0BCD> <U+0B9A><U+0BC1><U+0B9F><U+0BCD><U+0B9F><U+0BC1><U+0BA4><U+0BCD> <U+0BA4><U+0BB3><U+0BCD><U+0BB3><U+0BC1><U+0BAA><U+0BC1><U+0BA4><U+0BC1><U+0B9A><U+0BBE> <U+0B87><U+0BAA><U+0BCD><U+0BAA><U+0BCB> <U+0BAA><U+0BCA><U+0BB1><U+0BA8><U+0BCD><U+0BA4><U+0BCB><U+0BAE><U+0BC1><U+0BA9><U+0BCD><U+0BA9><U+0BC1><U+0B8E><U+0BA3><U+0BCD><U+0BA3><U+0BBF><U+0B95><U+0BCD><U+0B95><U+0BCA><U+0BB3><U+0BCD><U+0BB3><U+0B9F><U+0BBE><U+0B9F><U+0BCB><U+0BAF><U+0BCD>…";0
"7600";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65>";0
"620";"HES COMING BACK TO EXPLAIN HIMSELFPLEASEPLEASE TELL ME WHY YOURE A LATE sEARLY s Im guessing ADULT M…";1
